CalBP,NeedAvg11,BroadAvg11,Wood11,Open11,DepthCM,AP
-21.1,30.74,33.316,64.056,35.944,2070,75.9241086
46.3,35.907,33.67,69.577,30.423,2090,82.98072402
123.8,36.347,27.677,64.024,35.976,2110,89.88739714
211.1,38.794,33.47,72.264,27.736,2130,91.70455806
308,35.704,35.884,71.589,28.411,2150,90.55765385
470.9,41.117,33.214,74.331,25.669,2180,91.5307971
529.5,25.453,44.639,70.091,29.909,2190,91.39717425
589.4,14.42,53.139,67.559,32.441,2200,91.19503946
650.6,37.307,34.017,71.324,28.676,2210,91.74807493
713.5,34.779,33.496,68.274,31.726,2220,90.99729242
845.2,28.857,41.793,70.65,29.35,2240,94.17760075
950,21.983,47.571,69.554,30.446,2255,90.95286366
1061,26.834,45.253,72.087,27.913,2270,92.87474793
1178.9,38.384,31.54,69.924,30.076,2285,94.04138915
1304.5,22.391,47.253,69.644,30.356,2300,91.91998212
1393,26.834,45.253,72.087,27.913,2310,87.96202102
1485.5,31.791,40.047,71.839,28.161,2320,92.00800377
1630.5,21.033,47.381,68.414,31.586,2335,86.62318648
1772.6,13.1,52.444,65.544,34.456,2350,88.95840193
1937.3,10.341,53.06,63.401,36.599,2365,87.60560368
1995.2,18.707,47.599,66.306,33.694,2370,90.96628083
2114,14.42,53.139,67.559,32.441,2380,91.98666236
2236.6,14.42,53.139,67.559,32.441,2390,90.58720994
2299.5,11.75,54.277,66.027,33.973,2395,90.62824207
2364,19.094,48.517,67.611,32.389,2400,89.97062983
2497.4,15.253,48.853,64.106,35.894,2410,92.20710185
2634.4,10.341,53.06,63.401,36.599,2420,85.77486974
2772.5,13.677,50.289,63.966,36.034,2430,81.64305245
2841.7,28.113,47.566,75.679,24.321,2435,79.78245856
2911.2,11.456,44.464,55.92,44.08,2440,81.84268562
3051,15.373,41.934,57.307,42.693,2450,78.61000569
3191.5,11.315,40.642,51.957,48.043,2460,81.16318318
3262,12.877,34.494,47.371,52.629,2465,68.4779966
3473.9,20.637,36.21,56.847,43.153,2480,85.38117547
3756.1,11.551,33.784,45.336,54.664,2500,70.5725994
3840.4,7.565,29.39,36.955,63.045,2506,68.59681045
3966,12.519,37.206,49.724,50.276,2515,66.95865826
4035.9,11.551,33.784,45.336,54.664,2520,64.84956145
4105,7.553,24.568,32.12,67.88,2525,65.10763851
4174.3,7.553,24.568,32.12,67.88,2530,63.63735544
4243,7.483,23.504,30.987,69.013,2535,73.7208796
4311,15.753,28.434,44.187,55.813,2540,76.77927189
4446.5,15.538,26.267,41.805,58.195,2550,73.8922289
4580,6.79,28.926,35.716,64.284,2560,70.71817309
4647.5,15.753,28.434,44.187,55.813,2565,76.88835058
4715,16.65,26.187,42.837,57.163,2570,78.60549625
4849.1,15.753,28.434,44.187,55.813,2580,72.12905965
4980,10.025,24.282,34.307,65.692,2590,69.0851735
5044.8,4.39,18.943,23.333,76.667,2595,67.49920289
5096.4,10.025,24.282,34.307,65.692,2599,69.60025448
5237.3,4.228,25.797,30.025,69.975,2610,66.59192825
5363.8,9.549,31.87,41.419,58.581,2620,69.56621266
5488.5,11.551,33.784,45.336,54.664,2630,71.54243377
5610.7,9.286,29.596,38.881,61.119,2640,62.10422164
5730.2,10.025,24.282,34.307,65.692,2650,68.39248434
5847.5,7.323,24.427,31.75,68.25,2660,71.05751391
5963,4.74,14.88,19.62,80.38,2670,57.35809019
6090,8.768,28.698,37.466,62.534,2681,67.48893106
6192.8,7.106,22.127,29.233,70.767,2690,64.95432563
6320,4.39,18.943,23.333,76.667,2701,55.43808228
6365.9,4.39,18.943,23.333,76.667,2705,55.55904194
6424,3.467,16.008,19.475,80.525,2710,49.29048414
6542.2,6.634,25.876,32.51,67.49,2720,68.68184224
6723.9,4.048,21.218,25.265,74.735,2735,57.27071707
6798,4.39,18.943,23.333,76.667,2741,60.47376248
6911.8,4.048,21.218,25.265,74.735,2750,61.32226126
7037.7,8.624,25.034,33.658,66.342,2760,65.51212795
7101.1,4.39,18.943,23.333,76.667,2765,61.58633056
7164.9,4.39,18.943,23.333,76.667,2770,53.75626043
7294.5,4.39,18.943,23.333,76.667,2780,54.25709516
7427.6,4.74,14.88,19.62,80.38,2790,38.64368055
7565.4,3.499,17.804,21.303,78.697,2800,56.5952531
7651.6,4.98,6.55,11.53,88.47,2840,35.22542648
7799.7,4.74,14.88,19.62,80.38,2850,47.81233527
7948.5,2.49,3.275,5.765,94.235,2880,35.77639752
8078.6,7.565,29.39,36.955,63.045,2889,60.62060141
8092.7,7.565,29.39,36.955,63.045,2890,56.98588818
8224.5,30.15,32.685,62.835,37.165,2900,61.63916392
8332.4,17.04,41.44,58.48,41.52,2909,59.34348852
8457.1,30.15,32.685,62.835,37.165,2920,62.31314785
